Character,Type,Location,Species,Class/Profession,Notes,Characteristics
Harry Teller,,Moren,halfling,,Maxim's informant,
Byren Brimstone,Enemy,Moren,demon,,Shady person with top hat; appears to have stolen Aolis's soul,
Cassie,,Moren,human,,Bartender at Singing Mandrake,
Mr. Manager/The Overseer,,Moren,???,,aka the Overseer; someone Brimstone reports to,
Maxwella,,Moren,elf,,Maxim's mother,
Lindsey,,Moren,,,"Runs a laundry, but can connect to the Overseer",
Lady Novara Kavash,,Moren,,,Ore contact for Maxim's family,
Gregory,,???,dark elf,,Name dropped by Matron Mother attempting to kidnap Aolis,
Margaret/Maggie,,The Gates,human,arcane trickster rogue,Band of 5 women at the Gates keep in the Wastes; Maggie is also an ancient anwey,
Melody,,The Gates,human?,monk,,
Taylor,,The Gates,satyr,twilight cleric,"Cleric of Lady Nora, also a chef",
Lavelor,,The Gates,doll?,wizard,,
Wendy,,The Gates,tiefling,path of the beast barbarian,,
Lady Nora,,,god,,Goddes of trickery and the night,
Sol'Ar,,,god,,God of revelry and the sun,
???,,The Gates,lich,,Lich-like lord of the Waykeep Gates (we call him Paul),
Nashan,,The Gates,undead,,Knight of the lord of the Gates,
Mikel,,,dark elf,,Helped Aolis escape,
Alisha Tower,,Drakenweld,human,,"daughter of Elizabeth Tower, granddaughter of Margaret Tower.",
Luna,,,god,,Childer god of the Moon. The Moonlight,
Tommy,,Drakenweld,,,child rescued near the hills outside Light,
Miss Meow,,Light,cat lady,,bakery owner in Light,
Elizabeth Tower,,Drakenweld,human,,Queen of Drakenweld,
Namthyis Au’ren,,Drakenweld,elf,,professor teaching Alisha,
Arvin the Dragonslayer,,Drakenweld,,,"Alisha's father, eaten by a dragon",
Tundra,,,god?,,Some avatar or messenger of Natura,
Natu'ra,,,god,,god/goddess of nature,
Danyel,,Drakenweld,anwey,,clone from the ancient (anwey) times,
Lord Marcus Nevara,,Abandoned Village,vampire,,vampire lord in frozen/abandoned village,
Hazle Nevara,,Abandoned Village,vampire,,child of Marcus,
Lily Nevara,,Abandoned Village,vampire,,child of Marcus,
Errera,,,drow,,youngest sister of Aolis,
Madeleine ,,,drow,,next eldest sister of Aolis,
Mariquin,,Anthrell,AI,,AI supervisor of the demon city,
Nock,,Tower Isle,insectoid,,"Small, skinny insectoid of the Island",
Screeck,,Tower Isle,insectoid,,Large insectoid,
Tick,,Tower Isle,insectoid,,Female insectoid,
Nixie,,Strange Island,pixie,,,
